id,role,start_time,end_time,required_skill
S53,Manager Shift,2025-07-07T17:00:00,2025-07-08T01:00:00,manager
S54,Cashier Shift,2025-07-07T17:00:00,2025-07-07T21:00:00,cashier
S55,Stocker Shift,2025-07-07T14:00:00,2025-07-07T22:00:00,stocker
S56,Cashier Shift,2025-07-07T21:00:00,2025-07-08T01:00:00,cashier
S57,Manager Shift,2025-07-01T09:00:00,2025-07-01T17:00:00,manager
S58,Cashier Shift,2025-07-01T09:00:00,2025-07-01T13:00:00,cashier
S59,Stocker Shift,2025-07-01T06:00:00,2025-07-01T14:00:00,stocker
S60,Cashier Shift,2025-07-01T13:00:00,2025-07-01T17:00:00,cashier
S61,Manager Shift,2025-07-01T17:00:00,2025-07-02T01:00:00,manager
S62,Cashier Shift,2025-07-01T17:00:00,2025-07-01T21:00:00,cashier
S63,Stocker Shift,2025-07-01T14:00:00,2025-07-01T22:00:00,stocker
S64,Cashier Shift,2025-07-01T21:00:00,2025-07-02T01:00:00,cashier
S65,Manager Shift,2025-07-02T09:00:00,2025-07-02T17:00:00,manager
S66,Cashier Shift,2025-07-02T09:00:00,2025-07-02T13:00:00,cashier
S67,Stocker Shift,2025-07-02T06:00:00,2025-07-02T14:00:00,stocker
S68,Cashier Shift,2025-07-02T13:00:00,2025-07-02T17:00:00,cashier
S69,Manager Shift,2025-07-02T17:00:00,2025-07-03T01:00:00,manager
S70,Cashier Shift,2025-07-02T17:00:00,2025-07-02T21:00:00,cashier
S71,Stocker Shift,2025-07-02T14:00:00,2025-07-02T22:00:00,stocker
S72,Cashier Shift,2025-07-02T21:00:00,2025-07-03T01:00:00,cashier
S73,Manager Shift,2025-07-03T09:00:00,2025-07-03T17:00:00,manager
S74,Cashier Shift,2025-07-03T09:00:00,2025-07-03T13:00:00,cashier
S75,Stocker Shift,2025-07-03T06:00:00,2025-07-03T14:00:00,stocker
S76,Cashier Shift,2025-07-03T13:00:00,2025-07-03T17:00:00,cashier
S77,Manager Shift,2025-07-03T17:00:00,2025-07-04T01:00:00,manager
S78,Cashier Shift,2025-07-03T17:00:00,2025-07-03T21:00:00,cashier
S79,Stocker Shift,2025-07-03T14:00:00,2025-07-03T22:00:00,stocker
S80,Cashier Shift,2025-07-03T21:00:00,2025-07-04T01:00:00,cashier
S81,Manager Shift,2025-07-04T09:00:00,2025-07-04T17:00:00,manager
S82,Cashier Shift,2025-07-04T09:00:00,2025-07-04T13:00:00,cashier
S83,Stocker Shift,2025-07-04T06:00:00,2025-07-04T14:00:00,stocker
S84,Cashier Shift,2025-07-04T13:00:00,2025-07-04T17:00:00,cashier
S85,Manager Shift,2025-07-04T17:00:00,2025-07-05T01:00:00,manager
S86,Cashier Shift,2025-07-04T17:00:00,2025-07-04T21:00:00,cashier
S87,Stocker Shift,2025-07-04T14:00:00,2025-07-04T22:00:00,stocker
S88,Cashier Shift,2025-07-04T21:00:00,2025-07-05T01:00:00,cashier
S89,Manager Shift,2025-07-05T09:00:00,2025-07-05T17:00:00,manager
S90,Cashier Shift,2025-07-05T09:00:00,2025-07-05T13:00:00,cashier
S91,Stocker Shift,2025-07-05T06:00:00,2025-07-05T14:00:00,stocker
S92,Cashier Shift,2025-07-05T13:00:00,2025-07-05T17:00:00,cashier
S93,Manager Shift,2025-07-05T17:00:00,2025-07-06T01:00:00,manager
S94,Cashier Shift,2025-07-05T17:00:00,2025-07-05T21:00:00,cashier
S95,Stocker Shift,2025-07-05T14:00:00,2025-07-05T22:00:00,stocker
S96,Cashier Shift,2025-07-05T21:00:00,2025-07-06T01:00:00,cashier
S97,Manager Shift,2025-07-06T09:00:00,2025-07-06T17:00:00,manager
S98,Cashier Shift,2025-07-06T09:00:00,2025-07-06T13:00:00,cashier
S99,Stocker Shift,2025-07-06T06:00:00,2025-07-06T14:00:00,stocker
S100,Cashier Shift,2025-07-06T13:00:00,2025-07-06T17:00:00,cashier
S101,Manager Shift,2025-07-06T17:00:00,2025-07-07T01:00:00,manager
S102,Cashier Shift,2025-07-06T17:00:00,2025-07-06T21:00:00,cashier
S103,Stocker Shift,2025-07-06T14:00:00,2025-07-06T22:00:00,stocker
S104,Cashier Shift,2025-07-06T21:00:00,2025-07-07T01:00:00,cashier
S105,Manager Shift,2025-07-07T09:00:00,2025-07-07T17:00:00,manager
S106,Cashier Shift,2025-07-07T09:00:00,2025-07-07T13:00:00,cashier
S107,Stocker Shift,2025-07-07T06:00:00,2025-07-07T14:00:00,stocker
S108,Cashier Shift,2025-07-07T13:00:00,2025-07-07T17:00:00,cashier
S109,Manager Shift,2025-07-07T17:00:00,2025-07-08T01:00:00,manager
S110,Cashier Shift,2025-07-07T17:00:00,2025-07-07T21:00:00,cashier
S111,Stocker Shift,2025-07-07T14:00:00,2025-07-07T22:00:00,stocker
S112,Cashier Shift,2025-07-07T21:00:00,2025-07-08T01:00:00,cashier
S113,Manager Shift,2025-07-01T09:00:00,2025-07-01T17:00:00,manager
S114,Cashier Shift,2025-07-01T09:00:00,2025-07-01T13:00:00,cashier
S115,Stocker Shift,2025-07-01T06:00:00,2025-07-01T14:00:00,stocker
S116,Cashier Shift,2025-07-01T13:00:00,2025-07-01T17:00:00,cashier
S117,Manager Shift,2025-07-01T17:00:00,2025-07-02T01:00:00,manager
S118,Cashier Shift,2025-07-01T17:00:00,2025-07-01T21:00:00,cashier
S119,Stocker Shift,2025-07-01T14:00:00,2025-07-01T22:00:00,stocker
S120,Cashier Shift,2025-07-01T21:00:00,2025-07-02T01:00:00,cashier
S121,Manager Shift,2025-07-02T09:00:00,2025-07-02T17:00:00,manager
S122,Cashier Shift,2025-07-02T09:00:00,2025-07-02T13:00:00,cashier
S123,Stocker Shift,2025-07-02T06:00:00,2025-07-02T14:00:00,stocker
S124,Cashier Shift,2025-07-02T13:00:00,2025-07-02T17:00:00,cashier
S125,Manager Shift,2025-07-02T17:00:00,2025-07-03T01:00:00,manager
S126,Cashier Shift,2025-07-02T17:00:00,2025-07-02T21:00:00,cashier
S127,Stocker Shift,2025-07-02T14:00:00,2025-07-02T22:00:00,stocker
S128,Cashier Shift,2025-07-02T21:00:00,2025-07-03T01:00:00,cashier
S129,Manager Shift,2025-07-03T09:00:00,2025-07-03T17:00:00,manager
S130,Cashier Shift,2025-07-03T09:00:00,2025-07-03T13:00:00,cashier
S131,Stocker Shift,2025-07-03T06:00:00,2025-07-03T14:00:00,stocker
S132,Cashier Shift,2025-07-03T13:00:00,2025-07-03T17:00:00,cashier
S133,Manager Shift,2025-07-03T17:00:00,2025-07-04T01:00:00,manager
S134,Cashier Shift,2025-07-03T17:00:00,2025-07-03T21:00:00,cashier
S135,Stocker Shift,2025-07-03T14:00:00,2025-07-03T22:00:00,stocker
S136,Cashier Shift,2025-07-03T21:00:00,2025-07-04T01:00:00,cashier
S137,Manager Shift,2025-07-04T09:00:00,2025-07-04T17:00:00,manager
S138,Cashier Shift,2025-07-04T09:00:00,2025-07-04T13:00:00,cashier
S139,Stocker Shift,2025-07-04T06:00:00,2025-07-04T14:00:00,stocker
S140,Cashier Shift,2025-07-04T13:00:00,2025-07-04T17:00:00,cashier
S141,Manager Shift,2025-07-04T17:00:00,2025-07-05T01:00:00,manager
S142,Cashier Shift,2025-07-04T17:00:00,2025-07-04T21:00:00,cashier
S143,Stocker Shift,2025-07-04T14:00:00,2025-07-04T22:00:00,stocker
S144,Cashier Shift,2025-07-04T21:00:00,2025-07-05T01:00:00,cashier
S145,Manager Shift,2025-07-05T09:00:00,2025-07-05T17:00:00,manager
S146,Cashier Shift,2025-07-05T09:00:00,2025-07-05T13:00:00,cashier
S147,Stocker Shift,2025-07-05T06:00:00,2025-07-05T14:00:00,stocker
S148,Cashier Shift,2025-07-05T13:00:00,2025-07-05T17:00:00,cashier
S149,Manager Shift,2025-07-05T17:00:00,2025-07-06T01:00:00,manager
S150,Cashier Shift,2025-07-05T17:00:00,2025-07-05T21:00:00,cashier
S151,Stocker Shift,2025-07-05T14:00:00,2025-07-05T22:00:00,stocker
S152,Cashier Shift,2025-07-05T21:00:00,2025-07-06T01:00:00,cashier
S153,Manager Shift,2025-07-06T09:00:00,2025-07-06T17:00:00,manager
S154,Cashier Shift,2025-07-06T09:00:00,2025-07-06T13:00:00,cashier
S155,Stocker Shift,2025-07-06T06:00:00,2025-07-06T14:00:00,stocker
S156,Cashier Shift,2025-07-06T13:00:00,2025-07-06T17:00:00,cashier
S157,Manager Shift,2025-07-06T17:00:00,2025-07-07T01:00:00,manager
S158,Cashier Shift,2025-07-06T17:00:00,2025-07-06T21:00:00,cashier
S159,Stocker Shift,2025-07-06T14:00:00,2025-07-06T22:00:00,stocker
S160,Cashier Shift,2025-07-06T21:00:00,2025-07-07T01:00:00,cashier
S161,Manager Shift,2025-07-07T09:00:00,2025-07-07T17:00:00,manager
S162,Cashier Shift,2025-07-07T09:00:00,2025-07-07T13:00:00,cashier
S163,Stocker Shift,2025-07-07T06:00:00,2025-07-07T14:00:00,stocker
S164,Cashier Shift,2025-07-07T13:00:00,2025-07-07T17:00:00,cashier
S165,Manager Shift,2025-07-07T17:00:00,2025-07-08T01:00:00,manager
S166,Cashier Shift,2025-07-07T17:00:00,2025-07-07T21:00:00,cashier
S167,Stocker Shift,2025-07-07T14:00:00,2025-07-07T22:00:00,stocker
S168,Cashier Shift,2025-07-07T21:00:00,2025-07-08T01:00:00,cashier
S169,Manager Shift,2025-07-01T09:00:00,2025-07-01T17:00:00,manager
S170,Cashier Shift,2025-07-01T09:00:00,2025-07-01T13:00:00,cashier
S171,Stocker Shift,2025-07-01T06:00:00,2025-07-01T14:00:00,stocker
S172,Cashier Shift,2025-07-01T13:00:00,2025-07-01T17:00:00,cashier
S173,Manager Shift,2025-07-01T17:00:00,2025-07-02T01:00:00,manager
S174,Cashier Shift,2025-07-01T17:00:00,2025-07-01T21:00:00,cashier
S175,Stocker Shift,2025-07-01T14:00:00,2025-07-01T22:00:00,stocker
S176,Cashier Shift,2025-07-01T21:00:00,2025-07-02T01:00:00,cashier
S177,Manager Shift,2025-07-02T09:00:00,2025-07-02T17:00:00,manager
S178,Cashier Shift,2025-07-02T09:00:00,2025-07-02T13:00:00,cashier
S179,Stocker Shift,2025-07-02T06:00:00,2025-07-02T14:00:00,stocker
S180,Cashier Shift,2025-07-02T13:00:00,2025-07-02T17:00:00,cashier
S181,Manager Shift,2025-07-02T17:00:00,2025-07-03T01:00:00,manager
S182,Cashier Shift,2025-07-02T17:00:00,2025-07-02T21:00:00,cashier
S183,Stocker Shift,2025-07-02T14:00:00,2025-07-02T22:00:00,stocker
S184,Cashier Shift,2025-07-02T21:00:00,2025-07-03T01:00:00,cashier
S185,Manager Shift,2025-07-03T09:00:00,2025-07-03T17:00:00,manager
S186,Cashier Shift,2025-07-03T09:00:00,2025-07-03T13:00:00,cashier
S187,Stocker Shift,2025-07-03T06:00:00,2025-07-03T14:00:00,stocker
S188,Cashier Shift,2025-07-03T13:00:00,2025-07-03T17:00:00,cashier
S189,Manager Shift,2025-07-03T17:00:00,2025-07-04T01:00:00,manager
S190,Cashier Shift,2025-07-03T17:00:00,2025-07-03T21:00:00,cashier
S191,Stocker Shift,2025-07-03T14:00:00,2025-07-03T22:00:00,stocker
S192,Cashier Shift,2025-07-03T21:00:00,2025-07-04T01:00:00,cashier
S193,Manager Shift,2025-07-04T09:00:00,2025-07-04T17:00:00,manager
S194,Cashier Shift,2025-07-04T09:00:00,2025-07-04T13:00:00,cashier
S195,Stocker Shift,2025-07-04T06:00:00,2025-07-04T14:00:00,stocker
S196,Cashier Shift,2025-07-04T13:00:00,2025-07-04T17:00:00,cashier
S197,Manager Shift,2025-07-04T17:00:00,2025-07-05T01:00:00,manager
S198,Cashier Shift,2025-07-04T17:00:00,2025-07-04T21:00:00,cashier
S199,Stocker Shift,2025-07-04T14:00:00,2025-07-04T22:00:00,stocker
S200,Cashier Shift,2025-07-04T21:00:00,2025-07-05T01:00:00,cashier
